alpha,expected_il_mc,expected_il_analytic
0.1,0.03809219765779471,-0.011595359650342201
0.12000000000000001,0.03348039735247231,-0.013605221989734852
0.14,0.028990632139433377,-0.0155120144655689
0.16,0.024621492812633015,-0.017315737077844354
0.18,0.020371612547649215,-0.01901638982656121
0.2,0.016239666160703048,-0.020613972711719473
0.22,0.012224369392012687,-0.022108485733319132
0.24000000000000002,0.00832447821293797,-0.023499928891360194
0.26,0.004538788156391697,-0.024788302185842662
0.28,0.0008661336700117616,-0.02597360561676653
0.30000000000000004,-0.0026946125083936066,-0.027055839184131805
0.32,-0.0061445399535977946,-0.028035002887938476
0.33999999999999997,-0.0094847011343584,-0.028911096728186553
0.36,-0.012716111973907132,-0.029684120704876034
0.38,-0.01583975238994754,-0.03035407481800692
0.4,-0.018856566814565462,-0.030920959067579204
0.42000000000000004,-0.02176746469444155,-0.0313847734535929
0.44000000000000006,-0.024573320971740094,-0.031745517976047986
0.45999999999999996,-0.027274976546033832,-0.03200319263494448
0.48,-0.02987323871761018,-0.032157797430282374
0.5,-0.03236888161248969,-0.03220933236206167
0.52,-0.03476264658947483,-0.032157797430282374
0.54,-0.03705524262953259,-0.03200319263494448
0.56,-0.039247346707802264,-0.03174551797604798
0.58,-0.04133960414850623,-0.0313847734535929
0.6,-0.043332628963029286,-0.030920959067579204
0.62,-0.04522700417141945,-0.03035407481800692
0.64,-0.047023282107551446,-0.029684120704876034
0.66,-0.04872198470818167,-0.028911096728186553
0.6799999999999999,-0.05032360378611211,-0.02803500288793848
0.7,-0.0518286012876691,-0.027055839184131805
0.72,-0.05323740953469149,-0.02597360561676653
0.74,-0.054550431451211794,-0.024788302185842662
0.76,-0.05576804077500271,-0.023499928891360194
0.78,-0.05689058225415112,-0.022108485733319125
0.8,-0.05791837182881062,-0.020613972711719466
0.82,-0.05885169679827327,-0.019016389826561217
0.84,-0.059690815973491296,-0.017315737077844357
0.86,-0.060435959815168666,-0.0155120144655689
0.88,-0.0610873305575331,-0.01360522198973485
0.9,-0.06164510231788845,-0.0115953596503422
