sigma,alpha,expected_il
0.2,0.1,0.00821786461865948
0.2,0.12000000000000001,0.005723846263177304
0.2,0.14,0.0056636008323936145
0.2,0.16,0.0023781776751554055
0.2,0.18,0.002517635979582402
0.2,0.2,0.0008159427603082846
0.2,0.22,0.002366231711094035
0.2,0.24000000000000002,-0.001015151071293074
0.2,0.26,1.6026818439151878e-05
0.2,0.28,0.0011195833274401542
0.2,0.30000000000000004,0.0004645925096743112
0.2,0.32,-0.00039180567432541035
0.2,0.33999999999999997,-0.000293577645459824
0.2,0.36,-0.0018230138724214685
0.2,0.38,-0.0016251469499028112
0.2,0.4,-0.0021760736049029053
0.2,0.42000000000000004,-0.002935489609836176
0.2,0.44000000000000006,-0.002381050536108578
0.2,0.45999999999999996,-0.0031241072659957494
0.2,0.48,-0.0033888431334873183
0.2,0.5,-0.0035523074720840995
0.2,0.52,-0.004034224555068663
0.2,0.54,-0.0035296703664928755
0.2,0.56,-0.004191444827707264
0.2,0.58,-0.004032549123197447
0.2,0.6,-0.005841454488297274
0.2,0.62,-0.005033550490973331
0.2,0.64,-0.006022435357339541
0.2,0.66,-0.005524725083475752
0.2,0.6799999999999999,-0.005414626773314131
0.2,0.7,-0.005569730815092839
0.2,0.72,-0.005238075209936159
0.2,0.74,-0.004088633000789596
0.2,0.76,-0.005349653976140383
0.2,0.78,-0.006776540478469273
0.2,0.8,-0.0069774601497592185
0.2,0.82,-0.006131357748848952
0.2,0.84,-0.0069030536497247325
0.2,0.86,-0.005292719692577666
0.2,0.88,-0.0077652446255368586
0.2,0.9,-0.011297718785406936
0.24210526315789474,0.1,0.003606549285186764
0.24210526315789474,0.12000000000000001,0.001997851973437921
0.24210526315789474,0.14,0.007287565436888728
0.24210526315789474,0.16,0.0025894644595610542
0.24210526315789474,0.18,0.0032644040692478174
0.24210526315789474,0.2,0.005747272093900122
0.24210526315789474,0.22,0.0014742795223752596
0.24210526315789474,0.24000000000000002,0.0027024190249137145
0.24210526315789474,0.26,-0.00011529504926980072
0.24210526315789474,0.28,0.0012737718248761252
0.24210526315789474,0.30000000000000004,0.002017329066564996
0.24210526315789474,0.32,-0.00019383369760512557
0.24210526315789474,0.33999999999999997,-0.00199257807401763
0.24210526315789474,0.36,-0.0012639938679203737
0.24210526315789474,0.38,-0.0023561906406797785
0.24210526315789474,0.4,-0.0012763239692723455
0.24210526315789474,0.42000000000000004,-0.0037487985103443
0.24210526315789474,0.44000000000000006,-0.004284553611904778
0.24210526315789474,0.45999999999999996,-0.00451110283745227
0.24210526315789474,0.48,-0.004614226415027137
0.24210526315789474,0.5,-0.005311206689801111
0.24210526315789474,0.52,-0.00497658041299136
0.24210526315789474,0.54,-0.005835448965846993
0.24210526315789474,0.56,-0.006265250568342135
0.24210526315789474,0.58,-0.006146452965871779
0.24210526315789474,0.6,-0.006760602464157364
0.24210526315789474,0.62,-0.006570054191392551
0.24210526315789474,0.64,-0.00913498886814161
0.24210526315789474,0.66,-0.007067365247859351
0.24210526315789474,0.6799999999999999,-0.008753419796992443
0.24210526315789474,0.7,-0.007564693695407667
0.24210526315789474,0.72,-0.009914865231309456
0.24210526315789474,0.74,-0.008855436096065969
0.24210526315789474,0.76,-0.0056699154536479935
0.24210526315789474,0.78,-0.011176019126228958
0.24210526315789474,0.8,-0.0077954707550488755
0.24210526315789474,0.82,-0.00773993280562793
0.24210526315789474,0.84,-0.010431747464409715
0.24210526315789474,0.86,-0.010505144150136942
0.24210526315789474,0.88,-0.00916914262494099
0.24210526315789474,0.9,-0.00419165279357606
0.28421052631578947,0.1,0.005158057998692671
0.28421052631578947,0.12000000000000001,0.007741557426239698
0.28421052631578947,0.14,0.007074803775075054
0.28421052631578947,0.16,0.006583188775201146
0.28421052631578947,0.18,0.0017616097482895516
0.28421052631578947,0.2,0.006029663389825802
0.28421052631578947,0.22,0.0006922561540624714
0.28421052631578947,0.24000000000000002,0.0020839211489695674
0.28421052631578947,0.26,0.0007239415591517506
0.28421052631578947,0.28,0.0006821623168673191
0.28421052631578947,0.30000000000000004,0.0004726371927261052
0.28421052631578947,0.32,0.00016305929141580356
0.28421052631578947,0.33999999999999997,-0.0018979820793113237
0.28421052631578947,0.36,-0.002879017146973455
0.28421052631578947,0.38,-0.003819567970746838
0.28421052631578947,0.4,-0.005641611449213733
0.28421052631578947,0.42000000000000004,-0.004349072685263084
0.28421052631578947,0.44000000000000006,-0.004772276118314168
0.28421052631578947,0.45999999999999996,-0.006132465585253213
0.28421052631578947,0.48,-0.006978303053629706
0.28421052631578947,0.5,-0.007267949741641824
0.28421052631578947,0.52,-0.007430570852612919
0.28421052631578947,0.54,-0.008609870432796908
0.28421052631578947,0.56,-0.009094335608025042
0.28421052631578947,0.58,-0.008513959862744868
0.28421052631578947,0.6,-0.010328107825672487
0.28421052631578947,0.62,-0.010632687145961647
0.28421052631578947,0.64,-0.01000448182815655
0.28421052631578947,0.66,-0.01245547391754264
0.28421052631578947,0.6799999999999999,-0.012384700731984971
0.28421052631578947,0.7,-0.012430280651812209
0.28421052631578947,0.72,-0.012701079192776129
0.28421052631578947,0.74,-0.013012252060328536
0.28421052631578947,0.76,-0.011888100881706746
0.28421052631578947,0.78,-0.013112758402600377
0.28421052631578947,0.8,-0.012055546472353301
0.28421052631578947,0.82,-0.009296840889828151
0.28421052631578947,0.84,-0.01634172591926031
0.28421052631578947,0.86,-0.016016930612236323
0.28421052631578947,0.88,-0.01380837315275389
0.28421052631578947,0.9,-0.011655761719231812
0.3263157894736842,0.1,0.015297492590509994
0.3263157894736842,0.12000000000000001,0.01309281724805146
0.3263157894736842,0.14,0.008313254391254443
0.3263157894736842,0.16,0.004585249713242451
0.3263157894736842,0.18,0.008458677578046797
